mes;novas_matriculas;rematriculas;procuras_matricula;cancelamentos
Janeiro;5;18;7;2
Fevereiro;4;8;9;3
Março;2;1;2;1
Abril;1;0;3;0
Maio;0;0;2;1
Junho;1;;1;
Julho;0;;2;0
Agosto;6;;6;2
Setembro;4;3;5;3
Outubro;9;15;18;2
Novembro;18;25;30;6
Dezembro;20;30;35;5
