mes;novas_matriculas;rematriculas;procuras_matricula;cancelamentos
Janeiro;5;22;8;2
Fevereiro;4;8;10;6
Março;1;0;3;1
Abril;1;1;4;0
Maio;1;0;1;0
Junho;0;;1;0
Julho;0;0;0;0
Agosto;8;0;8;4
Setembro;5;4;6;2
Outubro;11;20;20;3
Novembro;20;30;40;4
Dezembro;24;35;48;3
