mes;novas_matriculas;rematriculas;procuras_matricula;cancelamentos
Janeiro;6;21;9;1
Fevereiro;5;8;10;4
Março;2;2;2;
Abril;1;1;2;1
Maio;0;0;1;0
Junho;1;;1;2
Julho;0;0;1;0
Agosto;7;0;7;3
Setembro;5;3;6;1
Outubro;10;18;20;3
Novembro;19;28;35;3
Dezembro;22;32;40;5
